Domain,Channel,Best K,Accuracy (%)
Time Domain,Channel_1,1,57.8050904867899
Time Domain,Channel_2,1,50.92422336204394
Time Domain,Channel_3,1,51.6597309590632
Time Domain,Channel_4,1,49.830639698054775
Time Domain,Channel_5,1,49.114487564114974
Time Domain,Channel_6,1,49.63708506726023
Time Domain,Channel_7,1,51.243588502854934
Time Domain,Channel_8,1,49.2306203425917
Time Domain,Channel_9,1,49.95645020807123
Time Domain,Channel_10,1,50.0532275234685
Time Domain,All Channels Combined,1,71.93457853479146
Frequency Domain,Channel_1,1,60.90574801625701
Frequency Domain,Channel_2,1,49.70001935359009
Frequency Domain,Channel_3,1,58.428488484613894
Frequency Domain,Channel_4,1,55.31256047996903
Frequency Domain,Channel_5,1,54.92548867814979
Frequency Domain,Channel_6,1,54.712599187149216
Frequency Domain,Channel_7,1,58.467195664795824
Frequency Domain,Channel_8,1,54.5190632862396
Frequency Domain,Channel_9,1,55.56415715115154
Frequency Domain,Channel_10,1,58.486549254886775
Frequency Domain,All Channels Combined,1,88.38784594542287
